actionid,casenumber,actionposition,actiontypecode,actiontype,actionstatuscode,utcstartdate,utcenddate,duration,actioneditororganisation,actioneditordepartment,actioncreatororganisation,actioncreatordepartment,referencetype,actioncallstate
933298312,***MASKED***,7,10,Outgoing call,20,2024-01-17 19:30:27.000000,2024-01-17 19:32:22.000000,1.9166666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933302960,***MASKED***,18,10,Outgoing call,20,2024-01-18 01:54:24.000000,2024-01-18 02:38:54.000000,44.5,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933305028,***MASKED***,7,10,Outgoing call,20,2024-01-18 04:39:11.000000,2024-01-18 04:41:01.000000,1.8333333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933310471,***MASKED***,15,10,Outgoing call,20,2024-01-18 07:39:42.000000,2024-01-18 07:41:21.000000,1.65,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933310668,***MASKED***,7,10,Outgoing call,20,2024-01-18 07:42:48.000000,2024-01-18 08:04:22.000000,21.566666666666663,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933315752,***MASKED***,9,10,Outgoing call,20,2024-01-18 09:10:23.000000,2024-01-18 09:17:13.000000,6.833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Busy
933316279,***MASKED***,13,10,Outgoing call,20,2024-01-18 09:21:06.000000,2024-01-18 09:28:52.000000,7.766666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933329342,***MASKED***,8,10,Outgoing call,20,2024-01-18 13:56:50.000000,2024-01-18 13:57:24.000000,0.5666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933330142,***MASKED***,7,10,Outgoing call,20,2024-01-18 14:11:02.000000,2024-01-18 15:19:27.000000,68.41666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933340301,***MASKED***,6,10,Outgoing call,20,2024-01-18 21:43:18.000000,2024-01-18 21:44:49.000000,1.5166666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933347898,***MASKED***,3,10,Outgoing call,20,2024-01-19 06:53:34.000000,2024-01-19 06:53:38.000000,0.0666666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933349728,***MASKED***,5,10,Outgoing call,20,2024-01-19 07:29:29.000000,2024-01-19 07:32:50.000000,3.35,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933351060,***MASKED***,8,10,Outgoing call,20,2024-01-19 07:57:29.000000,2024-01-19 08:39:16.000000,41.78333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933351385,***MASKED***,4,10,Outgoing call,20,2024-01-19 08:04:22.000000,2024-01-19 08:07:09.000000,2.783333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933352660,***MASKED***,3,10,Outgoing call,20,2024-01-19 08:33:39.000000,2024-01-19 08:55:49.000000,22.166666666666668,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933364443,***MASKED***,4,10,Outgoing call,20,2024-01-19 13:15:16.000000,2024-01-19 13:30:46.000000,15.5,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933385916,***MASKED***,5,10,Outgoing call,20,2024-01-22 01:56:25.000000,2024-01-22 02:05:28.000000,9.05,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933393490,***MASKED***,15,10,Outgoing call,20,2024-01-22 07:16:22.000000,2024-01-22 07:25:54.000000,9.533333333333331,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933394468,***MASKED***,3,10,Outgoing call,20,2024-01-22 07:32:01.000000,2024-01-22 07:47:56.000000,15.916666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933397451,***MASKED***,4,10,Outgoing call,20,2024-01-22 08:16:01.000000,2024-01-23 07:15:02.000000,1379.0166666666669,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933406314,***MASKED***,10,10,Outgoing call,20,2024-01-22 10:53:41.000000,2024-01-23 13:44:26.000000,1610.75,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933407107,***MASKED***,4,10,Outgoing call,20,2024-01-22 11:15:49.000000,2024-01-22 11:25:27.000000,9.633333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933416861,***MASKED***,6,10,Outgoing call,20,2024-01-22 14:20:39.000000,2024-01-22 14:21:16.000000,0.6166666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933417327,***MASKED***,3,10,Outgoing call,20,2024-01-22 14:28:46.000000,2024-01-22 14:31:16.000000,2.5,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933417481,***MASKED***,56,10,Outgoing call,20,2024-01-22 14:31:42.000000,2024-01-22 14:33:55.000000,2.216666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933423736,***MASKED***,13,10,Outgoing call,20,2024-01-22 16:53:21.000000,2024-01-22 17:00:17.000000,6.933333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933430263,***MASKED***,4,10,Outgoing call,20,2024-01-23 01:46:57.000000,2024-01-23 01:50:19.000000,3.3666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933437543,***MASKED***,3,10,Outgoing call,20,2024-01-23 07:18:02.000000,2024-01-23 07:18:19.000000,0.2833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933439526,***MASKED***,4,10,Outgoing call,20,2024-01-23 07:52:14.000000,2024-01-23 08:11:10.000000,18.933333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933443242,***MASKED***,5,10,Outgoing call,20,2024-01-23 08:59:07.000000,2024-01-23 08:59:44.000000,0.6166666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933444930,***MASKED***,4,10,Outgoing call,20,2024-01-23 09:30:09.000000,2024-01-23 09:30:28.000000,0.3166666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933461376,***MASKED***,11,10,Outgoing call,20,2024-01-23 15:00:35.000000,2024-01-23 15:03:23.000000,2.8,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933461467,***MASKED***,7,10,Outgoing call,20,2024-01-23 15:02:04.000000,2024-01-23 15:05:51.000000,3.783333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933462746,***MASKED***,3,10,Outgoing call,20,2024-01-23 15:29:46.000000,2024-01-23 15:31:24.000000,1.6333333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933468364,***MASKED***,8,10,Outgoing call,20,2024-01-23 19:56:54.000000,2024-01-23 20:20:09.000000,23.25,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933470503,***MASKED***,8,10,Outgoing call,20,2024-01-23 23:36:44.000000,2024-01-23 23:41:15.000000,4.516666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933474857,***MASKED***,10,10,Outgoing call,20,2024-01-24 05:25:19.000000,2024-01-24 05:26:19.000000,1.0,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933479807,***MASKED***,6,10,Outgoing call,20,2024-01-24 07:40:26.000000,2024-01-24 08:10:41.000000,30.25,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933491050,***MASKED***,3,10,Outgoing call,20,2024-01-24 11:20:29.000000,2024-01-24 11:24:53.000000,4.4,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933498745,***MASKED***,17,10,Outgoing call,20,2024-01-24 13:57:37.000000,2024-01-24 13:59:25.000000,1.8,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933507255,***MASKED***,24,10,Outgoing call,20,2024-01-24 17:50:49.000000,2024-01-24 18:07:36.000000,16.783333333333335,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933520111,***MASKED***,7,10,Outgoing call,20,2024-01-25 07:24:55.000000,2024-01-25 07:27:09.000000,2.2333333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933521445,***MASKED***,24,10,Outgoing call,20,2024-01-25 07:49:41.000000,2024-01-25 08:09:22.000000,19.683333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933522044,***MASKED***,5,10,Outgoing call,20,2024-01-25 08:01:33.000000,2024-01-26 06:11:56.000000,1330.3833333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
